Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,log_difference
RNF212,3,1,0,0,41,8,1,1,0,55,51,51,4.26114518670546
RRM2,4,0,2,0,44,2,0,3,0,55,51,51,4.26114518670546
SNX4,0,1,0,0,43,8,0,3,0,55,51,51,4.26114518670546
TMEM164,0,0,1,0,50,4,0,0,0,55,51,51,4.26114518670546
TMIGD1,4,0,0,0,44,3,0,4,0,55,51,51,4.26114518670546
TRAF4,2,1,0,0,48,3,0,0,1,55,51,51,4.26114518670546
ACY1,5,0,0,0,51,2,0,1,0,59,56,56,4.25964330003997
AQP4,3,0,0,0,51,4,0,1,0,59,56,56,4.25964330003997
C2orf54,0,0,0,0,56,3,0,0,0,59,56,56,4.25964330003997
C2orf62,3,0,0,0,46,8,0,2,0,59,56,56,4.25964330003997
CCDC78,3,0,0,0,50,1,0,5,0,59,56,56,4.25964330003997
CCZ1,4,0,0,0,47,3,0,5,0,59,56,56,4.25964330003997
CSK,1,0,1,0,48,5,0,3,1,59,56,56,4.25964330003997
CTAG2,1,0,0,0,57,1,0,0,0,59,56,56,4.25964330003997
DUPD1,0,0,0,0,52,7,0,0,0,59,56,56,4.25964330003997
FAM193B,4,1,0,0,50,2,1,1,0,59,56,56,4.25964330003997
GCNT2,5,2,1,0,46,5,0,0,0,59,56,56,4.25964330003997
GOLGA6B,4,0,2,0,46,5,0,2,0,59,56,56,4.25964330003997
KCNAB3,2,2,0,0,49,5,0,1,0,59,56,56,4.25964330003997
LENG1,6,2,0,0,45,4,0,2,0,59,56,56,4.25964330003997
METTL2A,3,3,0,0,47,6,0,0,0,59,56,56,4.25964330003997
MSRA,2,0,1,0,54,1,0,1,0,59,56,56,4.25964330003997
NIPAL1,2,0,2,0,53,1,0,1,0,59,56,56,4.25964330003997
OXER1,5,4,0,0,49,1,0,0,0,59,56,56,4.25964330003997
PALM,1,1,0,0,55,1,0,1,0,59,56,56,4.25964330003997
PHYHIP,2,0,0,0,57,0,0,0,0,59,56,56,4.25964330003997
POFUT1,1,0,1,0,56,1,0,0,0,59,56,56,4.25964330003997
RRAGD,2,0,1,0,49,3,0,4,0,59,56,56,4.25964330003997
SH2B2,3,2,0,1,49,4,0,0,0,59,56,56,4.25964330003997
SOX2,6,0,0,0,51,2,0,0,0,59,56,56,4.25964330003997
SYNDIG1L,0,0,0,0,54,4,0,1,0,59,56,56,4.25964330003997
TBP,3,0,1,1,49,2,0,2,1,59,56,56,4.25964330003997
TMEM43,3,0,0,0,54,1,0,1,0,59,56,56,4.25964330003997
TPD52L1,1,0,0,0,51,3,0,4,0,59,56,56,4.25964330003997
TPRX1,1,1,1,0,55,1,0,0,0,59,56,56,4.25964330003997
TREH,0,1,1,0,50,5,0,2,0,59,56,56,4.25964330003997
ZNF707,1,0,0,0,57,0,0,1,0,59,56,56,4.25964330003997
ATP5SL,1,0,1,0,37,5,1,0,0,45,39,39,4.25639937013146
MALRD1,2,0,0,0,38,4,0,1,0,45,39,39,4.25639937013146
RDH10,1,0,0,0,41,2,0,1,0,45,39,39,4.25639937013146
ACADS,3,0,0,0,60,1,0,2,0,66,65,65,4.25411096882683
ASPN,10,0,0,0,42,11,0,2,1,66,65,65,4.25411096882683
ATP1B1,5,2,4,0,43,5,0,6,1,66,65,65,4.25411096882683
B3GALT4,4,3,2,0,54,3,0,0,0,66,65,65,4.25411096882683
INHA,3,3,0,0,56,4,0,0,0,66,65,65,4.25411096882683
PARVB,1,0,0,0,59,4,0,2,0,66,65,65,4.25411096882683
PDP2,2,0,0,0,59,5,0,0,0,66,65,65,4.25411096882683
PRR19,3,0,0,0,60,2,0,1,0,66,65,65,4.25411096882683
SLC30A1,5,1,2,0,53,5,0,0,0,66,65,65,4.25411096882683
TMEM184C,2,1,0,0,59,3,0,1,0,66,65,65,4.25411096882683
TPBG,6,1,0,0,54,5,0,0,0,66,65,65,4.25411096882683
CACNG1,0,0,0,0,46,4,0,0,0,50,45,45,4.25404599609899
CMPK2,0,0,0,0,45,4,0,1,0,50,45,45,4.25404599609899
FUCA1,1,0,0,0,44,4,0,1,0,50,45,45,4.25404599609899
GSTZ1,2,0,0,0,37,8,0,3,0,50,45,45,4.25404599609899
HOXC11,1,0,0,0,45,4,0,0,0,50,45,45,4.25404599609899
OMG,0,2,1,0,46,1,0,0,0,50,45,45,4.25404599609899
SRR,1,0,0,0,46,2,0,0,1,50,45,45,4.25404599609899
TMEM53,0,0,0,0,49,1,0,0,0,50,45,45,4.25404599609899
FRG1B,1,0,0,0,55,9,0,4,0,69,69,69,4.24849524204936
HOXD4,2,0,0,0,65,1,1,0,0,69,69,69,4.24849524204936
KRTAP4-6,2,0,0,0,64,3,0,0,0,69,69,69,4.24849524204936
NPTX1,3,0,1,0,61,2,0,2,0,69,69,69,4.24849524204936
ACY3,1,2,0,0,53,3,0,3,0,62,60,60,4.24790299297909
BCL3,5,1,0,0,53,2,0,1,0,62,60,60,4.24790299297909
CABP5,3,0,1,0,52,4,1,1,0,62,60,60,4.24790299297909
CD300E,1,0,0,0,55,4,0,2,0,62,60,60,4.24790299297909
CLEC5A,2,0,0,0,53,3,1,3,0,62,60,60,4.24790299297909
COG8,2,1,0,0,53,5,0,1,0,62,60,60,4.24790299297909
DDX39A,1,0,0,0,56,4,0,1,0,62,60,60,4.24790299297909
ERGIC3,1,0,0,0,53,4,1,2,1,62,60,60,4.24790299297909
F2RL2,1,0,0,0,60,1,0,0,0,62,60,60,4.24790299297909
FADS3,1,0,0,0,56,1,1,3,0,62,60,60,4.24790299297909
FAM46B,1,0,0,0,56,3,2,0,0,62,60,60,4.24790299297909
FOSB,2,1,0,0,54,2,0,3,0,62,60,60,4.24790299297909
GNAI2,1,1,2,0,53,3,0,2,0,62,60,60,4.24790299297909
GPR31,1,0,0,0,59,2,0,0,0,62,60,60,4.24790299297909
GREM2,1,0,1,0,57,3,0,0,0,62,60,60,4.24790299297909
LCE2B,4,0,0,0,56,1,1,0,0,62,60,60,4.24790299297909
METTL24,0,0,1,0,55,4,0,2,0,62,60,60,4.24790299297909
NT5DC2,1,1,0,0,55,0,0,5,0,62,60,60,4.24790299297909
PCBP2,5,4,0,0,43,5,0,4,1,62,60,60,4.24790299297909
SCN2B,6,0,1,0,53,2,0,0,0,62,60,60,4.24790299297909
SGSH,2,0,0,0,56,3,0,1,0,62,60,60,4.24790299297909
SLC25A42,3,0,0,0,53,5,0,0,1,62,60,60,4.24790299297909
TMEM173,2,0,0,0,56,4,0,0,0,62,60,60,4.24790299297909
TSPAN8,1,3,0,0,50,3,0,5,0,62,60,60,4.24790299297909
XXYLT1,2,1,1,0,54,3,0,1,0,62,60,60,4.24790299297909
AURKB,0,1,0,0,53,0,0,0,0,54,50,50,4.24637168334227
COPS6,2,0,1,1,43,3,0,4,0,54,50,50,4.24637168334227
FBXW4,3,1,0,0,46,3,0,1,0,54,50,50,4.24637168334227
IGKV1-9,0,1,0,0,51,1,0,0,1,54,50,50,4.24637168334227
KLHL21,2,2,1,0,46,3,0,0,0,54,50,50,4.24637168334227
PALM2,4,0,0,0,47,3,0,0,0,54,50,50,4.24637168334227
PLEKHO2,4,1,0,0,48,1,0,0,0,54,50,50,4.24637168334227
PSTPIP2,0,0,0,0,45,3,0,6,0,54,50,50,4.24637168334227
PTPLA,3,3,0,0,45,0,0,3,0,54,50,50,4.24637168334227
RGS5,1,0,0,0,46,3,1,3,0,54,50,50,4.24637168334227
SIAH1,1,1,0,0,44,6,0,2,0,54,50,50,4.24637168334227
STX19,3,0,1,0,47,3,0,0,0,54,50,50,4.24637168334227
SUPT7L,2,1,0,0,47,3,1,0,0,54,50,50,4.24637168334227
TMUB2,4,0,1,0,47,1,0,1,0,54,50,50,4.24637168334227
TSPAN16,0,0,0,0,47,3,0,4,0,54,50,50,4.24637168334227
APOBEC4,3,0,1,0,49,5,0,0,0,58,55,55,4.24491632841161
ATG16L2,2,1,2,0,49,2,0,2,0,58,55,55,4.24491632841161
BUB3,2,0,1,0,49,4,0,2,0,58,55,55,4.24491632841161
C14orf28,6,1,0,0,41,10,0,0,0,58,55,55,4.24491632841161
CFLAR,2,1,0,0,51,4,0,0,0,58,55,55,4.24491632841161
DCUN1D1,3,2,0,0,40,7,0,6,0,58,55,55,4.24491632841161
DDX49,0,0,0,0,57,1,0,0,0,58,55,55,4.24491632841161
DHRS7B,2,0,1,0,47,4,0,4,0,58,55,55,4.24491632841161
EID3,2,1,0,0,50,5,0,0,0,58,55,55,4.24491632841161
FAM53B,0,0,0,0,56,2,0,0,0,58,55,55,4.24491632841161
GPR18,4,1,0,0,44,8,0,0,1,58,55,55,4.24491632841161
HAUS4,1,0,1,0,50,4,0,2,0,58,55,55,4.24491632841161
HDGFL1,1,0,0,1,53,3,0,0,0,58,55,55,4.24491632841161
HTR5A-AS1,1,0,0,0,55,2,0,0,0,58,55,55,4.24491632841161
IGHV1-45,0,0,0,0,54,3,0,0,1,58,55,55,4.24491632841161
INSL6,0,1,0,0,51,6,0,0,0,58,55,55,4.24491632841161
KCNK15,1,1,0,0,54,1,0,1,0,58,55,55,4.24491632841161
NEUROG3,0,0,0,0,51,7,0,0,0,58,55,55,4.24491632841161
NUP37,4,0,0,0,47,4,0,3,0,58,55,55,4.24491632841161
PDLIM7,1,0,0,0,51,4,0,2,0,58,55,55,4.24491632841161
PPP1R3C,5,2,1,0,47,3,0,0,0,58,55,55,4.24491632841161
PRPS1,1,0,0,0,55,1,0,1,0,58,55,55,4.24491632841161
RHBDL2,0,0,0,0,51,4,1,2,0,58,55,55,4.24491632841161
RNF26,1,0,0,0,53,4,0,0,0,58,55,55,4.24491632841161
SC5D,6,0,0,0,46,4,0,2,0,58,55,55,4.24491632841161
SLC25A32,0,1,0,0,53,3,0,1,0,58,55,55,4.24491632841161
SLC25A37,0,0,0,0,56,2,0,0,0,58,55,55,4.24491632841161
SLC46A2,2,0,0,0,53,2,0,1,0,58,55,55,4.24491632841161
SPRY1,3,1,0,0,50,3,0,1,0,58,55,55,4.24491632841161
SULT4A1,1,0,0,0,50,5,0,2,0,58,55,55,4.24491632841161
TMEM182,1,1,0,0,48,5,0,3,0,58,55,55,4.24491632841161
ZADH2,5,0,0,0,46,6,0,1,0,58,55,55,4.24491632841161
BCKDHB,4,2,0,0,49,5,0,5,0,65,64,64,4.23961207098776
GPR153,2,0,0,0,61,2,0,0,0,65,64,64,4.23961207098776
H2BFWT,1,0,0,0,63,1,0,0,0,65,64,64,4.23961207098776
NCF4,1,0,0,0,57,5,0,2,0,65,64,64,4.23961207098776
OR1J1,1,3,1,0,57,3,0,0,0,65,64,64,4.23961207098776
OXCT2,5,1,0,0,57,2,0,0,0,65,64,64,4.23961207098776
RAB37,3,1,0,0,55,2,0,4,0,65,64,64,4.23961207098776
RPUSD2,3,0,0,1,58,3,0,0,0,65,64,64,4.23961207098776
SLC39A11,0,1,0,0,55,5,0,4,0,65,64,64,4.23961207098776
SNAP25,0,1,0,0,63,0,0,1,0,65,64,64,4.23961207098776
TP53TG5,1,0,1,0,59,2,0,2,0,65,64,64,4.23961207098776
UGT1A3,4,1,0,0,56,4,0,0,0,65,64,64,4.23961207098776
C1orf105,0,0,0,0,41,4,0,4,0,49,44,44,4.23923777269876
MBD2,5,0,0,0,35,8,0,1,0,49,44,44,4.23923777269876
RPL3,0,2,1,0,43,1,0,1,1,49,44,44,4.23923777269876
TMEM55B,4,1,0,0,38,4,0,2,0,49,44,44,4.23923777269876
CBR1,4,0,0,0,30,3,0,0,0,37,30,30,4.23525088553168
GLYATL3,2,0,0,0,30,5,0,0,0,37,30,30,4.23525088553168
AADAT,1,1,0,0,54,3,0,2,0,61,59,59,4.23313590331437
ANGPTL4,0,0,1,0,55,1,0,4,0,61,59,59,4.23313590331437
B3GAT2,0,0,1,0,56,4,0,0,0,61,59,59,4.23313590331437
C12orf71,1,1,0,0,58,1,0,0,0,61,59,59,4.23313590331437
C16orf11,1,1,0,0,55,4,0,0,0,61,59,59,4.23313590331437
CACNG4,0,0,0,0,57,2,0,2,0,61,59,59,4.23313590331437
EAF2,6,5,0,0,37,11,0,1,1,61,59,59,4.23313590331437
ELK4,5,1,0,0,49,5,0,1,0,61,59,59,4.23313590331437
F11R,1,0,1,0,54,0,0,4,1,61,59,59,4.23313590331437
FAM134C,4,1,1,0,49,5,0,0,1,61,59,59,4.23313590331437
FAM209B,1,1,1,0,56,2,0,0,0,61,59,59,4.23313590331437
GDAP1,2,0,0,0,50,5,0,3,1,61,59,59,4.23313590331437
GNB1,2,0,0,0,52,4,0,1,2,61,59,59,4.23313590331437
KLK11,3,3,0,0,52,3,0,0,0,61,59,59,4.23313590331437
LRRC71,2,1,0,0,54,1,0,3,0,61,59,59,4.23313590331437
MBIP,3,2,0,0,50,4,0,2,0,61,59,59,4.23313590331437
OR3A3,0,0,0,0,59,1,0,1,0,61,59,59,4.23313590331437
RAD51B,3,1,0,0,51,5,0,1,0,61,59,59,4.23313590331437
RELT,6,2,1,0,48,2,1,1,0,61,59,59,4.23313590331437
SIX2,3,0,0,0,55,2,1,0,0,61,59,59,4.23313590331437
SPI1,5,1,1,0,51,1,0,2,0,61,59,59,4.23313590331437
SSX7,2,0,0,0,49,6,0,4,0,61,59,59,4.23313590331437
STK17A,0,0,0,0,54,6,0,1,0,61,59,59,4.23313590331437
TEX101,1,0,0,0,54,4,0,2,0,61,59,59,4.23313590331437
TIA1,6,1,0,0,43,7,0,4,0,61,59,59,4.23313590331437
ACAA2,0,1,0,0,47,3,0,2,0,53,49,49,4.23137182219779
ADPRM,2,0,0,0,47,4,0,0,0,53,49,49,4.23137182219779
ARRDC2,1,0,0,0,52,0,0,0,0,53,49,49,4.23137182219779
C11orf53,3,1,0,0,44,3,1,1,0,53,49,49,4.23137182219779
CD79A,12,0,0,0,36,2,0,3,0,53,49,49,4.23137182219779
COX15,0,0,0,0,50,2,0,0,1,53,49,49,4.23137182219779
CTBP1,1,0,1,0,50,1,0,0,0,53,49,49,4.23137182219779
DAOA,0,0,0,0,46,4,0,3,0,53,49,49,4.23137182219779
E2F4,2,1,0,0,48,1,0,1,0,53,49,49,4.23137182219779
FCN3,1,1,0,0,47,2,0,2,0,53,49,49,4.23137182219779
FGFR1OP,2,0,1,0,46,3,0,1,0,53,49,49,4.23137182219779
H3F3C,5,0,0,0,42,6,0,0,0,53,49,49,4.23137182219779
HABP4,1,0,1,0,46,4,0,1,0,53,49,49,4.23137182219779
HOXA11,5,2,1,0,40,5,0,0,0,53,49,49,4.23137182219779
IYD,2,0,0,0,49,2,0,0,0,53,49,49,4.23137182219779
LCAT,6,2,2,0,41,1,0,1,0,53,49,49,4.23137182219779
METTL1,5,1,0,0,46,1,0,0,0,53,49,49,4.23137182219779
MKNK2,2,0,0,0,44,3,0,4,0,53,49,49,4.23137182219779
MRPL3,3,0,0,0,43,2,0,5,0,53,49,49,4.23137182219779
MTG1,14,1,0,0,36,2,0,0,0,53,49,49,4.23137182219779
PRKAB1,2,5,1,0,41,4,0,0,0,53,49,49,4.23137182219779
SFXN1,1,2,0,0,41,9,0,0,0,53,49,49,4.23137182219779
SNX30,0,1,0,0,47,2,0,3,0,53,49,49,4.23137182219779
TIGD6,2,2,2,0,42,5,0,0,0,53,49,49,4.23137182219779
TMPPE,0,1,0,1,50,1,0,0,0,53,49,49,4.23137182219779
ZFYVE19,2,1,2,0,45,2,0,1,0,53,49,49,4.23137182219779
ARMC1,2,2,1,0,40,7,1,4,0,57,54,54,4.22996280663428
B3GALT5,1,0,0,0,50,5,0,1,0,57,54,54,4.22996280663428
BNIPL,1,0,0,0,51,5,0,0,0,57,54,54,4.22996280663428
CAMK1,1,0,1,0,50,3,0,2,0,57,54,54,4.22996280663428
DKKL1,4,0,0,1,48,4,0,0,0,57,54,54,4.22996280663428
ELOVL6,1,0,0,0,50,6,0,0,0,57,54,54,4.22996280663428
FCRLB,0,0,0,0,51,4,0,1,1,57,54,54,4.22996280663428
HAND2,7,0,1,0,48,1,0,0,0,57,54,54,4.22996280663428
HNRNPAB,4,4,2,0,40,6,0,1,0,57,54,54,4.22996280663428
HSPB8,4,7,0,0,43,3,0,0,0,57,54,54,4.22996280663428
IDUA,0,0,0,0,48,4,0,5,0,57,54,54,4.22996280663428
IFNGR2,8,1,0,0,43,5,0,0,0,57,54,54,4.22996280663428
IGFLR1,3,0,1,0,50,1,0,1,1,57,54,54,4.22996280663428
INPP1,1,0,0,0,51,4,1,0,0,57,54,54,4.22996280663428
KLHDC8B,10,1,0,0,42,3,0,0,1,57,54,54,4.22996280663428
KRTAP5-4,1,1,0,0,49,6,0,0,0,57,54,54,4.22996280663428
MOB3C,1,1,0,0,52,0,1,0,2,57,54,54,4.22996280663428
MRPL2,7,0,0,1,45,1,0,3,0,57,54,54,4.22996280663428
MYOD1,2,0,0,0,52,2,0,0,1,57,54,54,4.22996280663428
NFKBIA,4,0,2,0,44,5,1,1,0,57,54,54,4.22996280663428
OR52I1,0,0,0,0,53,4,0,0,0,57,54,54,4.22996280663428
PAK1IP1,2,0,0,0,48,5,0,2,0,57,54,54,4.22996280663428
PEX13,4,2,0,0,45,5,0,1,0,57,54,54,4.22996280663428
PLEK2,1,2,1,0,46,7,0,0,0,57,54,54,4.22996280663428
PPP1CA,4,0,0,0,48,4,0,1,0,57,54,54,4.22996280663428
PPT2,4,1,0,0,45,4,0,3,0,57,54,54,4.22996280663428
PRPF38A,1,0,0,0,47,7,0,2,0,57,54,54,4.22996280663428
PSMD4,1,0,1,0,51,2,1,1,0,57,54,54,4.22996280663428
RAB39B,0,1,0,0,51,5,0,0,0,57,54,54,4.22996280663428
RBFOX2,3,1,0,0,49,2,0,2,0,57,54,54,4.22996280663428
RDH5,5,2,0,0,43,5,0,1,1,57,54,54,4.22996280663428
RGMB,4,3,1,1,42,5,0,1,0,57,54,54,4.22996280663428
RMND5B,5,1,0,0,41,6,0,3,1,57,54,54,4.22996280663428
RND1,1,0,0,0,51,4,0,1,0,57,54,54,4.22996280663428
RQCD1,11,0,0,0,43,3,0,0,0,57,54,54,4.22996280663428
SFTPA1,1,0,0,0,53,1,0,2,0,57,54,54,4.22996280663428
SIRT7,1,2,0,0,52,1,0,1,0,57,54,54,4.22996280663428
SNRNP70,2,0,1,0,48,2,1,3,0,57,54,54,4.22996280663428
SRSF2,4,2,6,1,41,1,0,0,2,57,54,54,4.22996280663428
STRAP,4,0,0,0,46,5,0,2,0,57,54,54,4.22996280663428
TEX33,2,1,1,0,47,5,0,1,0,57,54,54,4.22996280663428
VASP,3,1,0,0,48,3,0,2,0,57,54,54,4.22996280663428
VPS72,0,0,1,0,49,4,0,3,0,57,54,54,4.22996280663428
C1orf100,0,0,0,0,33,9,0,1,0,43,37,37,4.22746499643877
FAM198A,1,0,0,0,41,1,0,0,0,43,37,37,4.22746499643877
RNF34,1,0,0,0,39,3,0,0,0,43,37,37,4.22746499643877
TMEM40,1,1,0,0,33,3,0,5,0,43,37,37,4.22746499643877
TTC1,1,0,0,0,40,2,0,0,0,43,37,37,4.22746499643877
BZW2,2,1,1,0,53,5,0,2,0,64,63,63,4.22489710055586
CYTH2,3,0,1,0,55,3,1,1,0,64,63,63,4.22489710055586
DNAJB2,4,0,0,0,59,1,0,0,0,64,63,63,4.22489710055586
HLA-F,2,1,0,0,60,1,0,0,0,64,63,63,4.22489710055586
LDHB,3,1,0,0,52,4,1,3,0,64,63,63,4.22489710055586
SH2D5,3,0,0,0,57,4,0,0,0,64,63,63,4.22489710055586
SP6,2,0,0,0,59,3,0,0,0,64,63,63,4.22489710055586
UHMK1,2,1,0,0,54,5,0,2,0,64,63,63,4.22489710055586
CCDC127,1,0,1,0,41,4,0,1,0,48,43,43,4.22421168437387
DCUN1D2,1,0,0,0,45,1,0,1,0,48,43,43,4.22421168437387
IFNA14,2,1,0,0,42,3,0,0,0,48,43,43,4.22421168437387
PAGE5,1,0,0,0,45,1,0,1,0,48,43,43,4.22421168437387
S1PR2,1,0,0,0,44,0,2,0,1,48,43,43,4.22421168437387
PPP3R2,1,0,0,0,61,5,0,0,0,67,67,67,4.21950770517611
TMPRSS12,6,1,0,0,54,5,0,1,0,67,67,67,4.21950770517611
AUP1,6,1,0,0,49,2,0,2,0,60,58,58,4.21814218335074
BDH1,4,0,0,0,50,3,1,1,1,60,58,58,4.21814218335074
C7orf43,3,0,0,0,52,2,0,3,0,60,58,58,4.21814218335074
C8orf76,3,0,1,0,48,5,0,2,1,60,58,58,4.21814218335074
FIZ1,1,0,1,0,56,2,0,0,0,60,58,58,4.21814218335074
HNRNPLL,2,0,1,0,46,4,0,7,0,60,58,58,4.21814218335074
IMPAD1,1,1,0,0,54,1,0,3,0,60,58,58,4.21814218335074
KLRC1,4,0,0,0,48,4,1,2,1,60,58,58,4.21814218335074
RP11-812E19.9,2,0,0,0,54,3,0,0,1,60,58,58,4.21814218335074
RSPO3,2,1,0,0,49,8,0,0,0,60,58,58,4.21814218335074
TCF21,1,0,0,0,56,3,0,0,0,60,58,58,4.21814218335074
TEAD1,6,0,0,0,48,5,0,1,0,60,58,58,4.21814218335074
TEKT2,1,0,0,0,53,4,0,2,0,60,58,58,4.21814218335074
ABHD17B,1,1,1,0,44,3,1,0,1,52,48,48,4.21613865628651
AEBP2,1,0,1,0,48,2,0,0,0,52,48,48,4.21613865628651
CBX3,11,0,0,0,35,3,0,3,0,52,48,48,4.21613865628651
CPLX4,3,1,1,0,41,4,1,1,0,52,48,48,4.21613865628651
CRADD,0,0,0,0,47,5,0,0,0,52,48,48,4.21613865628651
DTWD2,1,1,1,0,41,5,0,3,0,52,48,48,4.21613865628651
EIF3G,4,0,3,0,44,0,0,1,0,52,48,48,4.21613865628651
EVX1,1,0,0,0,48,2,0,1,0,52,48,48,4.21613865628651
FDFT1,3,0,0,0,46,2,0,1,0,52,48,48,4.21613865628651
GOLPH3,1,1,0,0,48,2,0,0,0,52,48,48,4.21613865628651
HIST1H2BH,1,0,2,0,48,1,0,0,0,52,48,48,4.21613865628651
LYSMD3,6,2,0,0,34,9,0,1,0,52,48,48,4.21613865628651
PCGF5,3,0,0,0,38,8,0,3,0,52,48,48,4.21613865628651
PM20D2,4,1,0,0,42,4,0,1,0,52,48,48,4.21613865628651
POLR1E,1,0,0,0,48,1,0,2,0,52,48,48,4.21613865628651
RAB40C,1,1,1,0,46,1,1,1,0,52,48,48,4.21613865628651
RAD1,1,2,0,0,38,8,1,0,2,52,48,48,4.21613865628651
REM2,3,0,0,0,44,3,0,2,0,52,48,48,4.21613865628651
RGS11,1,1,1,0,44,4,0,1,0,52,48,48,4.21613865628651
TEX37,2,0,0,0,47,1,0,2,0,52,48,48,4.21613865628651
TTC22,0,0,0,0,48,4,0,0,0,52,48,48,4.21613865628651
ZDHHC3,6,4,1,0,37,4,0,0,0,52,48,48,4.21613865628651
CCNK,4,5,0,0,43,3,0,1,0,56,53,53,4.2147755963698
CMTM5,0,0,0,0,52,1,0,3,0,56,53,53,4.2147755963698
CTU2,1,1,0,0,50,2,0,2,0,56,53,53,4.2147755963698
GJD4,2,0,0,0,52,1,0,0,1,56,53,53,4.2147755963698
HCAR1,0,1,0,0,53,2,0,0,0,56,53,53,4.2147755963698
HOXD9,1,1,0,0,50,3,1,0,0,56,53,53,4.2147755963698
IL17A,0,0,0,0,53,3,0,0,0,56,53,53,4.2147755963698
JSRP1,1,1,1,0,49,3,0,1,0,56,53,53,4.2147755963698
KCNMB1,0,0,0,0,52,2,0,2,0,56,53,53,4.2147755963698
KRTAP5-3,5,2,1,0,45,2,0,0,1,56,53,53,4.2147755963698
MSGN1,0,0,0,0,54,2,0,0,0,56,53,53,4.2147755963698
MSI2,0,0,0,0,49,3,0,4,0,56,53,53,4.2147755963698
MSRB3,1,0,0,1,49,4,0,1,0,56,53,53,4.2147755963698
MYL1,1,0,1,0,53,0,0,1,0,56,53,53,4.2147755963698
NGDN,1,0,0,0,49,4,0,2,0,56,53,53,4.2147755963698
PRAMEF6,0,0,0,0,54,2,0,0,0,56,53,53,4.2147755963698
RCVRN,1,0,0,0,48,5,0,2,0,56,53,53,4.2147755963698
SETD8,1,1,1,0,49,4,0,0,0,56,53,53,4.2147755963698
SH3YL1,3,1,0,0,40,11,0,1,0,56,53,53,4.2147755963698
SNX6,3,1,0,0,44,3,0,5,0,56,53,53,4.2147755963698
THUMPD2,1,3,0,0,43,6,0,3,0,56,53,53,4.2147755963698
TM6SF2,4,0,0,0,48,2,0,1,1,56,53,53,4.2147755963698
TMOD3,4,1,0,0,47,4,0,0,0,56,53,53,4.2147755963698
TRGC1,1,0,0,0,50,5,0,0,0,56,53,53,4.2147755963698
ULK3,3,1,0,0,45,4,0,3,0,56,53,53,4.2147755963698
VAX1,0,1,1,0,46,6,0,0,2,56,53,53,4.2147755963698
ZIC2,1,0,0,0,54,1,0,0,0,56,53,53,4.2147755963698
IGHV3-72,1,0,0,0,35,4,0,0,2,42,36,36,4.2127375647516
L3HYPDH,0,0,0,0,38,3,0,1,0,42,36,36,4.2127375647516
B3GALNT1,6,0,0,0,56,1,0,0,0,63,62,62,4.20995948004301
C8orf74,2,1,1,0,55,4,0,0,0,63,62,62,4.20995948004301
CTH,0,1,0,0,53,4,0,5,0,63,62,62,4.20995948004301
ELK3,3,5,0,0,54,1,0,0,0,63,62,62,4.20995948004301
FAM19A1,0,0,0,0,56,4,0,3,0,63,62,62,4.20995948004301
HCRTR1,5,1,1,0,54,1,0,1,0,63,62,62,4.20995948004301
LRRC10,4,0,1,0,58,0,0,0,0,63,62,62,4.20995948004301
MAX,3,1,1,0,49,5,0,3,1,63,62,62,4.20995948004301
NPAS1,1,2,0,0,58,1,0,1,0,63,62,62,4.20995948004301
OR7G3,1,0,0,0,60,2,0,0,0,63,62,62,4.20995948004301
SH2B3,4,1,0,0,55,1,0,2,0,63,62,62,4.20995948004301
SKAP2,0,0,0,0,59,2,0,2,0,63,62,62,4.20995948004301
SMPD2,11,1,0,0,47,3,0,1,0,63,62,62,4.20995948004301
SS18L1,2,0,0,0,57,1,0,2,1,63,62,62,4.20995948004301
TMEM82,0,0,0,0,60,3,0,0,0,63,62,62,4.20995948004301
VSIG2,4,0,0,0,56,2,0,1,0,63,62,62,4.20995948004301
ZDHHC19,9,0,0,0,51,2,0,1,0,63,62,62,4.20995948004301
AKAP14,0,1,0,0,40,4,0,2,0,47,42,42,4.20896203422851
CAB39,0,1,0,0,42,3,0,1,0,47,42,42,4.20896203422851
CCDC122,2,1,0,0,35,8,0,1,0,47,42,42,4.20896203422851
CCDC90B,2,1,0,1,36,4,0,2,1,47,42,42,4.20896203422851
CDRT1,1,0,1,0,42,3,0,0,0,47,42,42,4.20896203422851
DDOST,3,0,2,0,38,4,0,0,0,47,42,42,4.20896203422851
EFCAB8,1,1,0,0,40,3,0,2,0,47,42,42,4.20896203422851
EMX2,0,3,0,0,41,3,0,0,0,47,42,42,4.20896203422851
IGHV1-18,0,1,0,0,40,5,0,0,1,47,42,42,4.20896203422851
IQCK,2,0,0,0,36,6,0,3,0,47,42,42,4.20896203422851
SYT8,5,0,0,0,38,2,0,2,0,47,42,42,4.20896203422851
TMEM217,0,0,0,0,47,0,0,0,0,47,42,42,4.20896203422851
TREML1,0,0,0,0,44,2,0,1,0,47,42,42,4.20896203422851
SIL1,1,0,1,0,51,6,0,7,0,66,66,66,4.20469261939097
ABI3,0,2,1,0,55,1,0,0,0,59,57,57,4.202914695127
ACAD8,0,0,0,0,54,5,0,0,0,59,57,57,4.202914695127
ACOT7,5,0,0,0,50,2,0,2,0,59,57,57,4.202914695127
